Country,R,G,B
Norway,0.6549019813537598,0.21176470816135406,0.21176470816135406
Oman,0.5098039507865906,0.24705882370471954,0.23529411852359772
Pakistan,0.14509804546833038,0.3764705955982208,0.250980406999588
Palau,0.3176470696926117,0.3294117748737335,0.3745098114013672
Palestinian Territories,0.1411764770746231,0.12941177189350128,0.11568627506494522
Panama,0.29019609093666077,0.3019607961177826,0.501960813999176
Papua New Guinea,0.22745098173618317,0.2862745225429535,0.30980393290519714
Paraguay,0.1882352977991104,0.2549019753932953,0.3333333432674408
Peru,0.6117647290229797,0.239215686917305,0.3686274588108063
Philippines,0.33725491166114807,0.16470588743686676,0.21176470816135406
Poland,0.42352941632270813,0.239215686917305,0.24901962280273438
Portugal,0.4470588266849518,0.18039216101169586,0.21960784494876862
Qatar,0.3137255012989044,0.21960784494876862,0.23137255012989044
Romania,0.6784313917160034,0.13725490868091583,0.3607843220233917
Russian Federation,0.5176470875740051,0.20000000298023224,0.21960784494876862
Rwanda,0.16470588743686676,0.16470588743686676,0.23137255012989044
Saint Kitts and Nevis,0.23529411852359772,0.3529411852359772,0.48235294222831726
Saint Lucia,0.0941176488995552,0.1823529452085495,0.3019607961177826
Samoa,0.3843137323856354,0.43529412150382996,0.5058823823928833
San Marino,0.09019608050584793,0.26274511218070984,0.4588235318660736
Sao Tome and Principe,0.2549019753932953,0.13333334028720856,0.07058823853731155
Saudi Arabia,0.19607843458652496,0.47843137383461,0.34117648005485535
Senegal,0.30588236451148987,0.26274511218070984,0.2823529541492462
Serbia,0.42352941632270813,0.21960784494876862,0.250980406999588
Seychelles,0.24313725531101227,0.13725490868091583,0.1568627506494522
Sierra Leone,0.21176470816135406,0.4313725531101227,0.33725491166114807
